,Race,Execution Method,State,Sex,Year,Month,Day,Crimes Committed
145,5,5,48,1,1991,05,23,1
146,1,5,48,1,1991,06,17,1
147,2,2,12,1,1991,06,25,1
148,2,2,22,1,1991,07,22,1
149,1,2,51,1,1991,07,24,1
150,2,2,51,1,1991,08,22,1
151,2,5,29,1,1991,08,23,1
152,1,2,45,1,1991,09,06,1
153,2,5,48,1,1991,09,19,1
154,2,2,13,1,1991,09,25,1
155,1,5,37,1,1991,10,18,1
156,1,5,48,1,1991,11,12,1
157,1,5,56,1,1992,01,22,1
158,5,5,48,1,1992,01,22,1
159,2,5,5,1,1992,01,24,1
160,1,5,48,1,1992,02,11,1
161,1,5,48,1,1992,02,28,1
162,1,5,48,1,1992,03,03,1
163,2,5,40,1,1992,03,10,1
164,1,5,40,1,1992,03,13,1
165,1,5,10,1,1992,03,14,1
166,1,2,1,1,1992,03,20,1
167,1,3,4,1,1992,04,06,1
168,1,3,6,1,1992,04,21,1
169,2,5,48,1,1992,04,23,1
170,1,5,48,1,1992,05,07,1
171,1,5,5,1,1992,05,07,1
172,1,2,12,1,1992,05,12,1
173,5,5,48,1,1992,05,20,1
174,1,2,51,1,1992,05,20,1
175,1,5,48,1,1992,05,22,1
176,2,2,12,1,1992,07,21,1
177,1,2,51,1,1992,07,23,1
178,2,5,49,1,1992,07,30,1
179,2,5,48,1,1992,08,11,1
180,2,2,51,1,1992,09,15,1
181,2,5,48,1,1992,09,22,1
182,1,5,29,1,1992,10,21,1
183,1,5,37,1,1992,10,23,1
184,2,5,48,1,1992,11,19,1
185,2,2,1,1,1992,11,20,1
186,2,5,48,1,1992,12,10,1
187,1,2,51,1,1992,12,10,1
188,1,1,53,1,1993,01,05,1
189,2,2,51,1,1993,01,19,1
190,2,5,29,1,1993,01,27,1
191,1,5,4,1,1993,03,03,1
192,3,5,10,1,1993,03,03,1
193,1,5,22,1,1993,03,05,1
194,2,2,51,1,1993,03,18,1
195,5,5,48,1,1993,03,23,1
196,5,5,48,1,1993,03,25,1
197,1,5,4,1,1993,04,14,1
198,1,2,12,1,1993,04,21,1
199,2,5,48,1,1993,05,04,1
200,1,2,12,1,1993,05,05,1
201,5,5,48,1,1993,05,12,1
202,1,5,48,1,1993,05,18,1
203,1,2,51,1,1993,06,17,1
204,1,2,13,1,1993,06,28,1
205,1,5,48,1,1993,06,29,1
206,2,5,48,1,1993,07,01,1
207,2,5,29,1,1993,07,21,1
208,2,5,29,1,1993,07,28,1
209,2,5,48,1,1993,07,30,1
210,1,5,48,1,1993,08,05,1
211,1,5,48,1,1993,08,12,1
212,2,5,48,1,1993,08,20,1
213,5,5,48,1,1993,08,24,1
214,1,3,6,1,1993,08,24,1
215,1,2,12,1,1993,08,25,1
216,2,5,48,1,1993,08,31,1
217,2,5,10,1,1993,08,31,1
218,1,5,48,1,1993,09,03,1
219,2,2,51,1,1993,09,14,1
220,2,5,48,1,1993,09,28,1
221,1,5,29,1,1993,10,06,1
222,1,5,48,1,1993,11,10,1
223,1,2,13,1,1993,12,07,1
224,2,5,48,1,1993,12,15,1
225,1,2,51,1,1993,12,16,1
226,1,5,16,1,1994,01,06,1
227,1,5,48,1,1994,02,02,1
228,2,2,51,1,1994,03,03,1
229,2,5,48,1,1994,03,31,1
230,2,2,13,1,1994,03,31,1
231,1,5,48,1,1994,04,04,1
232,1,2,12,1,1994,04,22,1
233,1,5,48,1,1994,04,26,1
234,2,2,51,1,1994,04,27,1
235,2,5,48,1,1994,05,03,1
236,1,5,17,1,1994,05,10,1
237,2,5,5,1,1994,05,11,1
238,1,5,5,1,1994,05,11,1
239,1,5,24,1,1994,05,17,1
240,1,5,48,1,1994,05,27,1
241,1,1,53,1,1994,05,27,1
242,1,5,48,1,1994,06,14,1
243,1,3,37,1,1994,06,15,1
244,2,5,10,1,1994,06,23,1
245,1,5,48,1,1994,08,02,1
246,1,5,5,1,1994,08,03,1
247,1,5,5,1,1994,08,03,1
248,1,5,5,1,1994,08,03,1
249,2,2,31,1,1994,09,02,1
250,5,5,48,1,1994,09,16,1
251,1,5,48,1,1994,09,20,1
252,2,5,48,1,1994,10,05,1
253,1,5,48,1,1994,11,22,1
254,2,5,48,1,1994,12,06,1
255,2,2,18,1,1994,12,08,1
256,1,5,48,1,1994,12,11,1
257,1,5,48,1,1995,01,04,1
258,5,5,48,1,1995,01,17,1
259,1,5,37,1,1995,01,24,1
260,2,5,51,1,1995,01,24,1
261,1,5,48,1,1995,01,31,1
262,2,5,48,1,1995,01,31,1
263,1,5,48,1,1995,02,07,1
264,1,5,48,1,1995,02,16,1
265,2,5,48,1,1995,02,21,1
266,1,5,10,1,1995,03,17,1
267,1,5,40,1,1995,03,20,1
268,2,5,17,1,1995,03,22,1
269,1,5,17,1,1995,03,22,1
270,1,5,48,1,1995,04,06,1
271,1,2,13,1,1995,04,07,1
272,1,5,5,1,1995,04,19,1
273,2,2,1,1,1995,04,28,1
274,1,5,42,1,1995,05,02,1
275,2,5,29,1,1995,05,03,1
276,1,5,30,1,1995,05,10,1
277,2,2,1,1,1995,05,12,1
278,2,5,22,1,1995,05,16,1
279,2,5,17,1,1995,05,17,1
280,1,2,13,1,1995,05,17,1
281,2,5,51,1,1995,05,25,1
282,1,5,48,1,1995,06,01,1
283,2,5,48,1,1995,06,08,1
284,2,5,48,1,1995,06,20,1
285,2,5,48,1,1995,06,21,1
286,2,5,29,1,1995,06,21,1
287,1,5,40,1,1995,07,01,1
288,1,2,12,1,1995,07,18,1
289,2,5,29,1,1995,07,26,1
290,1,5,40,1,1995,08,11,1
291,2,5,48,1,1995,08,15,1
292,1,5,42,1,1995,08,16,1
293,2,5,45,1,1995,08,18,1
294,2,5,5,1,1995,08,31,1
295,1,5,4,1,1995,09,13,1
296,2,5,48,1,1995,09,19,1
297,1,5,17,1,1995,09,20,1
298,1,5,37,1,1995,09,22,1
299,1,5,51,1,1995,09,27,1
300,1,5,48,1,1995,10,04,1
301,1,5,51,1,1995,10,19,1
302,2,5,51,1,1995,11,13,1
303,1,5,29,1,1995,11,15,1
304,1,5,17,1,1995,11,22,1
305,1,5,29,1,1995,11,29,1
306,2,2,12,1,1995,12,04,1
307,1,2,12,1,1995,12,05,1
308,1,5,29,1,1995,12,06,1
309,2,5,48,1,1995,12,06,1
310,4,5,48,1,1995,12,07,1
311,5,5,48,1,1995,12,11,1
312,1,5,48,1,1995,12,12,1
313,1,5,51,1,1996,01,04,1
314,2,5,51,1,1996,01,23,1
315,1,1,10,1,1996,01,25,1
317,2,5,10,1,1996,01,30,1
318,1,5,48,1,1996,02,09,1
319,2,2,1,1,1996,02,16,1
